"","p_value","morans_test_statistic","morans_I","q_value","pseudotime_module"
"331",0.111272536503733,1.21978847095968,0.00918132672829065,0.417329274412929,1
"332",0.446095964061558,0.135531161639115,0.000214099774286994,0.850919438863987,1
"333",0.4574294159234,0.106911951203617,-1.33116863328899e-05,0.850919438863987,1
"334",0.000204974960043348,3.53359423414089,0.0280973167029502,0.00308903537798991,1
"335",0.531250980402693,-0.0784148778050803,-0.00131867238849614,0.850919438863987,1
"336",0.694634156939154,-0.509029300828596,-0.00465172399479812,0.851158826725576,1
"337",0.699022183745639,-0.521590279817975,-0.00482344696283096,0.852105666367925,1
"338",NA,NA,NA,1,1
"339",NA,NA,NA,1,1
"340",NA,NA,NA,1,1
"341",7.53740488823698e-10,6.04356233188174,0.0490750742517573,3.01827510030061e-08,1
"342",0.0119172454530122,2.2597867216537,0.0175390650221004,0.0888429673297392,1
"343",NA,NA,NA,1,1
"344",0.664812055791986,-0.425632179065237,-0.00398221570633499,0.850919438863987,1
"345",0.0691935923780578,1.48182379945818,0.0113341443890482,0.30914841910942,1
"346",0.919965717444407,-1.40484099682524,-0.0012142857142857,0.940435257193395,1
"347",NA,NA,NA,1,1
"348",0.00556028756608672,2.53888694867398,0.0200823676431602,0.0484729375378469,1
"349",0.66199446069933,-0.41791251962615,-0.00431183357973492,0.850919438863987,1
"350",0.137723230506126,1.09060560764943,0.00802044275517956,0.47597064867633,1
"351",0.179927391292659,0.915641832890573,0.0066473370102212,0.559051341976851,1
"352",0.682593875000326,-0.474964537382302,-0.0048117804480569,0.850919438863987,1
"353",0.297945066464696,0.530319926914429,-0.000771519584447744,0.723781164468903,1
"354",NA,NA,NA,1,1
"355",NA,NA,NA,1,1
"356",0.970021708475206,-1.88111274937087,-0.0162769100750969,0.974353356216894,1
"357",0.895221272536638,-1.25478324948962,-0.0111308472670535,0.92604534543889,1
"358",NA,NA,NA,1,1
"359",NA,NA,NA,1,1
"360",NA,NA,NA,1,1
"361",0.166993631559536,0.966113753572047,0.00693342114960306,0.537661065031761,1
"362",NA,NA,NA,1,1
"363",0.028251307445695,1.90713880868805,0.014853159164477,0.169377697157145,1
"364",0.00151704538273714,2.96426277504393,0.0226621029296029,0.0165611545077715,1
